instrument_id,customer_id,type,masked_number,issuer_bank,added_date
PI00054,CUST00039,card,**** 4042,IDFC First,2025-01-01
PI00055,CUST00040,card,**** 2098,SBI,2026-01-01
PI00056,CUST00040,upi,**** 2948,Axis,2025-09-03
PI00057,CUST00041,wallet,**** 7602,HDFC,2026-03-18
PI00058,CUST00042,wallet,**** 5918,SBI,2026-07-21
PI00059,CUST00042,upi,**** 7142,ICICI,2025-02-26
PI00060,CUST00043,upi,**** 8838,Yes Bank,2025-12-17
PI00061,CUST00044,wallet,**** 1686,Yes Bank,2026-07-12
PI00062,CUST00044,upi,**** 1516,Axis,2025-07-04
PI00063,CUST00045,upi,**** 1508,SBI,2025-06-15
PI00064,CUST00046,upi,**** 7287,IDFC First,2025-07-23
PI00065,CUST00046,wallet,**** 2605,Axis,2024-12-10
PI00066,CUST00047,wallet,**** 6751,Yes Bank,2025-10-10
PI00067,CUST00047,upi,**** 1447,Axis,2025-01-19
PI00068,CUST00048,upi,**** 2422,Axis,2024-10-12
PI00069,CUST00049,wallet,**** 2508,HDFC,2026-08-22
PI00070,CUST00050,wallet,**** 2540,Axis,2026-03-29
PI00071,CUST00051,wallet,**** 6527,ICICI,2025-05-22
PI00072,CUST00052,upi,**** 1562,SBI,2025-01-21
PI00073,CUST00052,upi,**** 8392,ICICI,2025-02-21
PI00074,CUST00053,upi,**** 2555,HDFC,2026-01-17
PI00075,CUST00053,wallet,**** 3103,Kotak,2024-09-17
PI00076,CUST00054,card,**** 9295,Axis,2026-04-24
PI00077,CUST00054,card,**** 9225,ICICI,2026-06-05
PI00078,CUST00055,upi,**** 7359,IDFC First,2024-12-31
PI00079,CUST00056,wallet,**** 1798,SBI,2025-04-18
PI00080,CUST00056,wallet,**** 2927,Yes Bank,2024-09-13
PI00081,CUST00057,upi,**** 3849,Axis,2025-07-10
PI00082,CUST00057,upi,**** 3666,HDFC,2024-12-23
PI00083,CUST00058,wallet,**** 6429,Axis,2026-03-14
PI00084,CUST00059,wallet,**** 3536,IDFC First,2026-05-04
PI00085,CUST00060,card,**** 8899,Axis,2026-03-02
PI00086,CUST00061,card,**** 7345,IDFC First,2025-02-21
PI00087,CUST00062,wallet,**** 3893,IDFC First,2025-11-24
PI00088,CUST00062,upi,**** 1718,SBI,2026-06-08
PI00089,CUST00063,card,**** 6571,IDFC First,2025-05-08
PI00090,CUST00064,wallet,**** 9083,ICICI,2025-07-29
PI00091,CUST00064,wallet,**** 8285,IDFC First,2025-02-23
PI00092,CUST00065,card,**** 2663,ICICI,2026-07-15
PI00093,CUST00065,card,**** 3162,Yes Bank,2025-10-30
PI00094,CUST00066,wallet,**** 1387,Axis,2025-07-10
PI00095,CUST00066,upi,**** 7007,IDFC First,2025-12-26
PI00096,CUST00067,upi,**** 1336,Yes Bank,2025-08-06
PI00097,CUST00067,wallet,**** 7034,Yes Bank,2026-03-18
PI00098,CUST00068,card,**** 7858,Axis,2025-01-18
PI00099,CUST00068,card,**** 5569,Axis,2026-02-03
PI00100,CUST00069,wallet,**** 7918,HDFC,2025-11-07
PI00101,CUST00069,card,**** 2429,SBI,2025-10-28
PI00102,CUST00070,upi,**** 8776,Axis,2026-04-06
PI00103,CUST00070,wallet,**** 4985,ICICI,2026-08-04
PI00104,CUST00071,card,**** 3654,HDFC,2025-02-08
PI00105,CUST00072,card,**** 4219,Axis,2025-09-12
PI00106,CUST00072,wallet,**** 9944,SBI,2026-08-18
PI00107,CUST00073,upi,**** 8829,HDFC,2025-04-07
PI00108,CUST00073,wallet,**** 4039,Kotak,2024-10-16
PI00109,CUST00074,card,**** 1651,ICICI,2026-02-22
PI00110,CUST00075,card,**** 5920,ICICI,2026-01-25
PI00111,CUST00076,wallet,**** 7401,HDFC,2025-09-11
PI00112,CUST00076,upi,**** 1982,Kotak,2025-04-22
PI00113,CUST00077,card,**** 9594,Yes Bank,2026-06-07
PI00114,CUST00078,wallet,**** 9692,HDFC,2025-01-02
PI00115,CUST00079,card,**** 6235,ICICI,2025-06-27
PI00116,CUST00080,card,**** 4091,Yes Bank,2025-09-05
PI00117,CUST00081,upi,**** 8843,ICICI,2025-02-15
PI00118,CUST00082,card,**** 7354,Kotak,2025-03-12
PI00119,CUST00083,wallet,**** 9870,IDFC First,2024-09-21
PI00120,CUST00083,card,**** 3393,Yes Bank,2025-04-21
PI00121,CUST00084,wallet,**** 3382,IDFC First,2025-02-14
PI00122,CUST00085,upi,**** 9411,HDFC,2025-09-09
PI00123,CUST00086,card,**** 5047,Yes Bank,2025-12-10
PI00124,CUST00086,upi,**** 6926,ICICI,2025-07-05
PI00125,CUST00087,upi,**** 1977,IDFC First,2025-09-22
PI00126,CUST00088,card,**** 6250,IDFC First,2024-10-31
PI00127,CUST00089,card,**** 4155,Yes Bank,2025-02-05
PI00128,CUST00090,upi,**** 7402,Axis,2024-10-11
PI00129,CUST00090,wallet,**** 4681,Yes Bank,2025-06-27
PI00130,CUST00091,upi,**** 9348,Axis,2025-04-18
PI00131,CUST00092,wallet,**** 3576,ICICI,2026-01-01
PI00132,CUST00092,wallet,**** 9540,SBI,2026-05-02
PI00133,CUST00093,card,**** 8090,Kotak,2026-06-15
PI00134,CUST00094,upi,**** 2086,Kotak,2026-05-19
PI00135,CUST00095,wallet,**** 3384,IDFC First,2026-06-11
PI00136,CUST00096,card,**** 7054,SBI,2025-11-30
PI00137,CUST00096,upi,**** 5601,Axis,2025-05-05
PI00138,CUST00097,upi,**** 5972,IDFC First,2024-08-28
PI00139,CUST00097,wallet,**** 6359,SBI,2024-11-30
PI00140,CUST00098,wallet,**** 8991,Axis,2025-07-02
PI00141,CUST00099,wallet,**** 3248,Axis,2025-11-18
PI00142,CUST00099,upi,**** 2490,Yes Bank,2024-10-06
PI00143,CUST00100,upi,**** 9728,Kotak,2026-03-12
PI00144,CUST00101,wallet,**** 2031,SBI,2026-01-28
PI00145,CUST00101,wallet,**** 5394,SBI,2026-05-30
PI00146,CUST00102,wallet,**** 9413,ICICI,2025-06-23
PI00147,CUST00103,upi,**** 4922,Kotak,2025-05-01
PI00148,CUST00104,upi,**** 6019,ICICI,2026-02-17
PI00149,CUST00105,wallet,**** 7742,SBI,2025-11-02
PI00150,CUST00106,wallet,**** 7944,Yes Bank,2025-02-18
PI00151,CUST00107,card,**** 3281,IDFC First,2026-01-30
PI00152,CUST00107,wallet,**** 5833,ICICI,2025-11-28
PI00153,CUST00108,wallet,**** 6922,Yes Bank,2025-10-30
PI00154,CUST00108,wallet,**** 6261,ICICI,2026-05-29
PI00155,CUST00109,wallet,**** 9521,ICICI,2025-08-25
PI00156,CUST00110,wallet,**** 5775,Yes Bank,2024-12-13
PI00157,CUST00111,card,**** 6527,ICICI,2025-12-23
PI00158,CUST00112,upi,**** 7143,ICICI,2025-03-22
PI00159,CUST00112,upi,**** 8935,Yes Bank,2025-03-09
PI00160,CUST00113,wallet,**** 8521,Kotak,2025-03-16
PI00161,CUST00114,card,**** 5173,Kotak,2026-03-13
PI00162,CUST00115,upi,**** 3038,Axis,2026-03-14
PI00163,CUST00116,upi,**** 1053,HDFC,2025-08-21
PI00164,CUST00116,card,**** 5174,Axis,2025-08-25
PI00165,CUST00117,wallet,**** 5539,Kotak,2025-12-15
PI00166,CUST00118,upi,**** 4263,SBI,2025-10-05
PI00167,CUST00118,card,**** 8007,Yes Bank,2024-09-06
PI00168,CUST00119,wallet,**** 2770,Axis,2024-11-23
PI00169,CUST00120,upi,**** 6130,HDFC,2025-01-25
PI00170,CUST00121,card,**** 3013,SBI,2026-02-06
PI00171,CUST00122,card,**** 2151,SBI,2025-04-18
PI00172,CUST00123,wallet,**** 9769,SBI,2026-02-01
PI00173,CUST00124,card,**** 7934,ICICI,2025-02-03
PI00174,CUST00125,wallet,**** 1981,HDFC,2025-12-24
PI00175,CUST00126,upi,**** 5541,SBI,2026-05-27
PI00176,CUST00127,card,**** 4776,ICICI,2025-01-26
PI00177,CUST00128,wallet,**** 5370,Kotak,2025-02-03
PI00178,CUST00128,upi,**** 4872,ICICI,2025-09-26
PI00179,CUST00129,wallet,**** 6189,IDFC First,2024-10-31
PI00180,CUST00130,card,**** 7279,ICICI,2025-12-30
PI00181,CUST00131,wallet,**** 1285,ICICI,2025-02-12
PI00182,CUST00131,card,**** 5419,IDFC First,2025-06-18
PI00183,CUST00132,card,**** 2567,ICICI,2024-09-23
PI00184,CUST00133,card,**** 4965,Axis,2025-02-24
PI00185,CUST00134,card,**** 3843,ICICI,2025-03-12
PI00186,CUST00134,upi,**** 2759,HDFC,2025-04-11
PI00187,CUST00135,wallet,**** 6054,Axis,2026-06-17
PI00188,CUST00136,wallet,**** 7335,Axis,2025-12-22
PI00189,CUST00136,card,**** 4804,HDFC,2025-08-24
PI00190,CUST00137,upi,**** 8276,Axis,2026-01-23
PI00191,CUST00138,wallet,**** 7299,IDFC First,2025-01-09
PI00192,CUST00139,upi,**** 1377,Kotak,2026-03-19
PI00193,CUST00139,upi,**** 4360,Yes Bank,2025-09-13
PI00194,CUST00140,upi,**** 9584,SBI,2026-05-22
PI00195,CUST00141,card,**** 9176,Kotak,2026-06-12
PI00196,CUST00142,upi,**** 8244,Kotak,2026-07-22
PI00197,CUST00142,card,**** 7110,ICICI,2026-05-29
PI00198,CUST00143,card,**** 7187,ICICI,2025-02-17
PI00199,CUST00143,upi,**** 4393,ICICI,2025-11-08
PI00200,CUST00144,upi,**** 7637,SBI,2026-06-29
PI00201,CUST00145,wallet,**** 5762,ICICI,2025-06-14
PI00202,CUST00146,wallet,**** 8695,HDFC,2026-01-22
PI00203,CUST00147,wallet,**** 4998,Yes Bank,2025-12-11
PI00204,CUST00147,wallet,**** 2059,Axis,2024-12-14
PI00205,CUST00148,card,**** 7371,Kotak,2024-09-18
PI00206,CUST00148,upi,**** 6890,Axis,2025-03-31
PI00207,CUST00149,upi,**** 8148,Yes Bank,2025-03-26
PI00208,CUST00150,upi,**** 2465,Axis,2025-02-20
PI00209,CUST00151,upi,**** 4744,SBI,2026-04-07
PI00210,CUST00152,upi,**** 8840,ICICI,2024-09-27
PI00211,CUST00153,card,**** 9473,Kotak,2025-12-10
PI00212,CUST00154,card,**** 1594,Axis,2025-11-12
PI00213,CUST00154,upi,**** 1786,IDFC First,2024-11-09
PI00214,CUST00155,card,**** 3601,HDFC,2025-07-04
PI00215,CUST00156,wallet,**** 1820,SBI,2026-04-25
PI00216,CUST00156,card,**** 9605,SBI,2024-10-02
PI00217,CUST00157,card,**** 5803,ICICI,2025-09-01
PI00218,CUST00158,upi,**** 4047,ICICI,2026-04-09
PI00219,CUST00159,upi,**** 3730,Kotak,2026-06-08
PI00220,CUST00160,card,**** 2511,Kotak,2025-07-27
PI00221,CUST00161,wallet,**** 3882,SBI,2025-11-12
PI00222,CUST00162,upi,**** 7934,ICICI,2026-05-08
PI00223,CUST00162,card,**** 1281,IDFC First,2025-09-08
PI00224,CUST00163,wallet,**** 2262,HDFC,2025-06-11
PI00225,CUST00164,upi,**** 3928,Kotak,2026-07-03
PI00226,CUST00165,upi,**** 7044,Yes Bank,2025-11-23
PI00227,CUST00166,card,**** 9743,ICICI,2026-01-17
PI00228,CUST00167,card,**** 6332,IDFC First,2025-11-21
PI00229,CUST00168,upi,**** 9409,IDFC First,2025-08-09
PI00230,CUST00169,wallet,**** 9265,HDFC,2024-08-27
PI00231,CUST00170,card,**** 3736,HDFC,2025-03-22
PI00232,CUST00171,card,**** 3167,ICICI,2025-08-13
PI00233,CUST00172,upi,**** 5575,Axis,2024-09-07
PI00234,CUST00172,card,**** 8453,ICICI,2025-08-15
PI00235,CUST00173,card,**** 5066,ICICI,2025-09-21
PI00236,CUST00173,wallet,**** 1692,HDFC,2026-02-20
PI00237,CUST00174,card,**** 1009,SBI,2025-04-07
PI00238,CUST00175,wallet,**** 9027,Yes Bank,2024-11-26
PI00239,CUST00176,wallet,**** 9871,Yes Bank,2025-01-09
PI00240,CUST00177,wallet,**** 8645,Yes Bank,2025-11-20
PI00241,CUST00178,upi,**** 7638,IDFC First,2025-12-05
PI00242,CUST00178,upi,**** 9576,Axis,2024-08-27
PI00243,CUST00179,wallet,**** 9187,ICICI,2025-07-22
PI00244,CUST00180,card,**** 2202,Kotak,2024-11-27
PI00245,CUST00181,upi,**** 2892,Kotak,2025-09-24
PI00246,CUST00182,upi,**** 7159,SBI,2025-03-24
PI00247,CUST00183,card,**** 6153,Axis,2026-05-30
PI00248,CUST00184,card,**** 4531,Axis,2026-04-12
PI00249,CUST00185,card,**** 8371,IDFC First,2026-07-23
PI00250,CUST00185,wallet,**** 3291,Yes Bank,2025-08-06
PI00251,CUST00186,upi,**** 5005,ICICI,2024-09-08
PI00252,CUST00187,card,**** 8193,SBI,2024-12-03
PI00253,CUST00188,upi,**** 8640,Yes Bank,2026-01-17
PI00254,CUST00189,upi,**** 4353,Axis,2026-03-12
PI00255,CUST00190,upi,**** 1841,ICICI,2024-09-24
PI00256,CUST00191,wallet,**** 2659,SBI,2025-09-06
PI00257,CUST00192,card,**** 6743,Axis,2025-01-04
PI00258,CUST00193,wallet,**** 8100,HDFC,2025-04-30
PI00259,CUST00194,upi,**** 6812,IDFC First,2025-02-12
PI00260,CUST00194,wallet,**** 8816,HDFC,2025-04-07
PI00261,CUST00195,card,**** 6775,SBI,2025-01-08
PI00262,CUST00196,upi,**** 9302,ICICI,2025-11-17
PI00263,CUST00197,card,**** 3391,Yes Bank,2025-01-06
PI00264,CUST00198,wallet,**** 5417,HDFC,2026-01-23
PI00265,CUST00198,card,**** 9347,ICICI,2025-06-09
PI00266,CUST00199,wallet,**** 7082,HDFC,2025-12-06
PI00267,CUST00199,upi,**** 7609,SBI,2024-11-10
PI00268,CUST00200,upi,**** 6684,Kotak,2025-07-09
PI00269,CUST00200,upi,**** 5668,SBI,2025-09-06
PI00270,CUST00201,wallet,**** 3020,Axis,2025-03-07
PI00271,CUST00202,upi,**** 9420,HDFC,2025-04-21
PI00272,CUST00203,wallet,**** 9289,HDFC,2025-07-30
PI00273,CUST00203,card,**** 7191,SBI,2025-12-09
PI00274,CUST00204,wallet,**** 8206,Yes Bank,2026-01-19
PI00275,CUST00204,wallet,**** 5376,ICICI,2025-07-15
PI00276,CUST00205,card,**** 2526,Kotak,2024-11-30
PI00277,CUST00206,upi,**** 7461,ICICI,2026-02-04
PI00278,CUST00207,card,**** 5962,HDFC,2026-01-16
PI00279,CUST00208,card,**** 7854,Kotak,2025-11-01
PI00280,CUST00209,upi,**** 3484,Axis,2025-07-21
PI00281,CUST00210,wallet,**** 5180,ICICI,2025-06-10
PI00282,CUST00210,card,**** 2085,ICICI,2026-02-28
PI00283,CUST00211,upi,**** 8907,IDFC First,2026-07-20
PI00284,CUST00212,card,**** 8672,ICICI,2025-12-16
PI00285,CUST00213,upi,**** 2871,HDFC,2024-11-14
PI00286,CUST00213,wallet,**** 8530,IDFC First,2025-06-11
PI00287,CUST00214,wallet,**** 7096,IDFC First,2025-07-29
PI00288,CUST00215,upi,**** 9977,IDFC First,2025-07-03
PI00289,CUST00216,upi,**** 6349,Kotak,2025-01-26
PI00290,CUST00216,card,**** 9520,Yes Bank,2025-11-27
PI00291,CUST00217,wallet,**** 5018,ICICI,2026-08-03
PI00292,CUST00218,upi,**** 8919,SBI,2025-01-24
PI00293,CUST00219,wallet,**** 5924,Axis,2025-11-15
PI00294,CUST00220,upi,**** 1840,Kotak,2025-04-17
PI00295,CUST00220,upi,**** 5221,HDFC,2026-05-15
PI00296,CUST00221,wallet,**** 4663,IDFC First,2025-11-15
PI00297,CUST00222,card,**** 8607,ICICI,2024-11-16
PI00298,CUST00223,wallet,**** 9883,Kotak,2025-10-22
PI00299,CUST00224,upi,**** 7551,Axis,2026-05-07
PI00300,CUST00225,upi,**** 5900,HDFC,2025-02-24
PI00301,CUST00225,card,**** 3661,Kotak,2025-06-20
PI00302,CUST00226,wallet,**** 2086,IDFC First,2025-08-11
PI00303,CUST00227,card,**** 8137,Axis,2024-09-01
PI00304,CUST00228,card,**** 7786,Axis,2025-02-18
PI00305,CUST00229,upi,**** 7068,HDFC,2026-05-11
PI00306,CUST00230,card,**** 8971,Axis,2025-05-24
PI00307,CUST00231,wallet,**** 4506,Axis,2026-05-07
PI00308,CUST00232,card,**** 5693,ICICI,2025-09-30
PI00309,CUST00233,card,**** 6506,ICICI,2025-10-24
PI00310,CUST00233,wallet,**** 6359,Kotak,2026-05-31
PI00311,CUST00234,card,**** 2649,HDFC,2026-08-19
PI00312,CUST00235,wallet,**** 1139,ICICI,2026-05-26
PI00313,CUST00236,upi,**** 9071,HDFC,2024-11-26
PI00314,CUST00236,wallet,**** 3488,HDFC,2025-09-06
PI00315,CUST00237,upi,**** 3909,HDFC,2025-06-20
PI00316,CUST00238,upi,**** 7009,Yes Bank,2025-11-30
PI00317,CUST00239,wallet,**** 6853,Yes Bank,2025-10-02
PI00318,CUST00239,wallet,**** 2433,HDFC,2026-08-09
PI00319,CUST00240,upi,**** 6409,HDFC,2026-08-13
PI00320,CUST00241,wallet,**** 2349,HDFC,2026-02-27
PI00321,CUST00242,card,**** 4149,IDFC First,2025-04-13
PI00322,CUST00242,card,**** 7403,IDFC First,2025-06-13
PI00323,CUST00243,card,**** 5379,Kotak,2025-10-16
PI00324,CUST00244,wallet,**** 9619,HDFC,2024-12-02
PI00325,CUST00245,upi,**** 3271,HDFC,2025-05-15
PI00326,CUST00245,upi,**** 5259,ICICI,2025-01-29
PI00327,CUST00246,wallet,**** 9435,HDFC,2025-04-27
PI00328,CUST00246,upi,**** 4666,Yes Bank,2026-01-17
PI00329,CUST00247,card,**** 7445,IDFC First,2025-08-09
PI00330,CUST00248,wallet,**** 3667,Yes Bank,2025-11-29
PI00331,CUST00249,upi,**** 6877,Kotak,2025-02-13
PI00332,CUST00250,upi,**** 7571,Axis,2025-12-06
PI00333,CUST00251,upi,**** 6351,ICICI,2025-08-10
PI00334,CUST00252,upi,**** 3436,Yes Bank,2025-10-21
PI00335,CUST00253,card,**** 2301,HDFC,2026-04-25
PI00336,CUST00254,card,**** 3419,HDFC,2025-07-26
PI00337,CUST00254,upi,**** 3066,ICICI,2025-12-23
PI00338,CUST00255,card,**** 5628,IDFC First,2026-04-14
PI00339,CUST00255,upi,**** 6242,Kotak,2025-04-17
PI00340,CUST00256,wallet,**** 8890,Axis,2024-08-24
PI00341,CUST00257,card,**** 5956,Yes Bank,2025-12-02
PI00342,CUST00258,upi,**** 1554,SBI,2024-09-29
PI00343,CUST00259,upi,**** 4137,SBI,2025-06-03
PI00344,CUST00260,card,**** 1514,IDFC First,2025-03-25
PI00345,CUST00261,upi,**** 4056,IDFC First,2025-10-09
PI00346,CUST00262,upi,**** 7512,IDFC First,2025-03-02
PI00347,CUST00263,upi,**** 8366,ICICI,2025-09-20
PI00348,CUST00263,upi,**** 7919,Yes Bank,2025-06-19
PI00349,CUST00264,wallet,**** 4014,HDFC,2026-04-15
PI00350,CUST00265,upi,**** 7812,HDFC,2025-01-15
PI00351,CUST00266,upi,**** 3427,HDFC,2025-11-22
PI00352,CUST00267,card,**** 9401,Kotak,2024-08-27
PI00353,CUST00268,upi,**** 4313,Yes Bank,2026-06-16
PI00354,CUST00269,upi,**** 1629,IDFC First,2025-11-15
PI00355,CUST00270,wallet,**** 6910,Yes Bank,2024-12-04
PI00356,CUST00271,wallet,**** 7111,SBI,2026-04-08
PI00357,CUST00272,card,**** 8910,IDFC First,2025-11-23
PI00358,CUST00273,card,**** 4458,ICICI,2025-09-15
PI00359,CUST00273,upi,**** 9273,SBI,2025-06-11
PI00360,CUST00274,upi,**** 9662,Kotak,2026-06-28
PI00361,CUST00274,wallet,**** 4222,Axis,2026-01-12
PI00362,CUST00275,card,**** 8453,Yes Bank,2025-11-11
PI00363,CUST00275,wallet,**** 9964,SBI,2026-03-21
PI00364,CUST00276,upi,**** 1729,SBI,2025-08-27
PI00365,CUST00276,upi,**** 1293,Axis,2025-06-02
PI00366,CUST00277,wallet,**** 2028,Axis,2024-10-21
PI00367,CUST00277,upi,**** 8594,Kotak,2025-03-16
PI00368,CUST00278,card,**** 6163,IDFC First,2026-03-30
PI00369,CUST00278,wallet,**** 4651,Axis,2025-03-07
PI00370,CUST00279,upi,**** 1634,IDFC First,2024-09-28
PI00371,CUST00280,wallet,**** 5163,Axis,2024-09-05
PI00372,CUST00281,card,**** 9695,ICICI,2026-07-22
PI00373,CUST00282,card,**** 8360,ICICI,2026-06-28
PI00374,CUST00283,card,**** 8045,HDFC,2025-07-13
PI00375,CUST00284,upi,**** 9769,IDFC First,2025-09-30
PI00376,CUST00285,upi,**** 1267,Kotak,2024-08-29
PI00377,CUST00285,wallet,**** 6016,IDFC First,2025-05-19
PI00378,CUST00286,wallet,**** 1838,Axis,2024-09-14
PI00379,CUST00286,wallet,**** 4496,Kotak,2026-06-16
PI00380,CUST00287,wallet,**** 5711,IDFC First,2026-06-26
PI00381,CUST00287,card,**** 4847,Axis,2024-12-25
PI00382,CUST00288,wallet,**** 6383,ICICI,2026-03-25
PI00383,CUST00288,wallet,**** 4281,HDFC,2024-10-05
PI00384,CUST00289,upi,**** 2305,SBI,2026-05-06
PI00385,CUST00289,wallet,**** 5023,Axis,2025-09-21
PI00386,CUST00290,card,**** 3127,Yes Bank,2025-09-07
PI00387,CUST00291,upi,**** 3769,Yes Bank,2024-11-25
PI00388,CUST00291,upi,**** 5212,Axis,2025-08-30
PI00389,CUST00292,upi,**** 4343,Yes Bank,2024-10-21
PI00390,CUST00293,upi,**** 2599,IDFC First,2025-03-22
PI00391,CUST00294,upi,**** 9885,Yes Bank,2025-06-14
PI00392,CUST00295,wallet,**** 2123,HDFC,2025-05-15
PI00393,CUST00295,card,**** 2989,IDFC First,2026-01-12
PI00394,CUST00296,card,**** 2081,IDFC First,2025-12-04
PI00395,CUST00297,card,**** 2857,IDFC First,2025-05-08
PI00396,CUST00298,upi,**** 2989,Kotak,2025-03-04
PI00397,CUST00299,upi,**** 9368,HDFC,2026-03-21
PI00398,CUST00299,upi,**** 5559,IDFC First,2026-03-04
PI00399,CUST00300,upi,**** 2507,SBI,2025-01-24
PI00400,CUST00301,upi,**** 4101,Kotak,2025-08-26
PI00401,CUST00302,wallet,**** 1298,Kotak,2026-07-19
PI00402,CUST00303,card,**** 3658,ICICI,2025-05-17
PI00403,CUST00304,card,**** 9553,IDFC First,2025-05-16
PI00404,CUST00305,wallet,**** 4181,Axis,2025-10-29
PI00405,CUST00305,wallet,**** 6757,HDFC,2026-05-18
PI00406,CUST00306,upi,**** 8084,HDFC,2025-12-01
PI00407,CUST00307,upi,**** 4479,ICICI,2025-03-31
PI00408,CUST00307,card,**** 8920,IDFC First,2026-01-07
PI00409,CUST00308,wallet,**** 2096,Yes Bank,2025-07-08
PI00410,CUST00308,card,**** 9099,Kotak,2025-03-27
PI00411,CUST00309,upi,**** 6279,Yes Bank,2025-09-30
PI00412,CUST00310,card,**** 1687,HDFC,2025-10-01
PI00413,CUST00311,card,**** 1060,Kotak,2025-05-31
PI00414,CUST00312,card,**** 7103,Yes Bank,2025-09-16
PI00415,CUST00313,upi,**** 1121,SBI,2026-08-14
PI00416,CUST00314,card,**** 3196,IDFC First,2025-11-12
PI00417,CUST00315,wallet,**** 9528,Kotak,2024-12-19
PI00418,CUST00316,wallet,**** 3224,Axis,2026-08-21
PI00419,CUST00317,wallet,**** 6582,HDFC,2026-03-20
PI00420,CUST00318,card,**** 6194,ICICI,2025-11-17
PI00421,CUST00318,upi,**** 9799,IDFC First,2025-12-31
PI00422,CUST00319,upi,**** 1637,IDFC First,2026-04-03
PI00423,CUST00320,card,**** 5918,Yes Bank,2025-11-06
PI00424,CUST00321,wallet,**** 5231,IDFC First,2026-02-22
PI00425,CUST00322,card,**** 5598,SBI,2025-10-08
PI00426,CUST00323,card,**** 9699,SBI,2024-11-26
PI00427,CUST00324,upi,**** 6052,Yes Bank,2025-11-26
PI00428,CUST00325,upi,**** 1372,HDFC,2026-01-01
PI00429,CUST00326,upi,**** 4027,Yes Bank,2026-07-27
PI00430,CUST00327,card,**** 9600,Kotak,2026-01-12
PI00431,CUST00328,card,**** 6939,HDFC,2025-04-27
PI00432,CUST00328,card,**** 5328,IDFC First,2024-10-01
PI00433,CUST00329,upi,**** 3027,ICICI,2026-03-24
