transaction_id,customer_id,merchant_id,device_id,ip_id,payment_instrument_id,coupon_id,timestamp,amount,currency,status,is_ring_transaction
TXN000021,CUST00002,MERCH0035,DEV00881,IP00068,PI00002,,2025-07-15T05:01:26,10652.12,INR,success,False
TXN000022,CUST00002,MERCH0035,DEV00644,IP00409,PI00002,,2025-07-17T13:50:38,8901.44,INR,success,False
TXN000023,CUST00003,MERCH0032,DEV00791,IP00278,PI00004,,2025-08-23T23:12:57,12459.77,INR,success,False
TXN000024,CUST00003,MERCH0038,DEV00214,IP00451,PI00004,,2025-06-04T00:06:00,5378.92,INR,success,False
TXN000025,CUST00003,MERCH0030,DEV00894,IP00317,PI00004,,2025-10-06T01:00:55,14404.52,INR,success,False
TXN000026,CUST00003,MERCH0023,DEV00059,IP00453,PI00004,,2025-08-02T13:11:57,12460.18,INR,success,False
TXN000027,CUST00003,MERCH0046,DEV00176,IP00499,PI00004,,2026-02-25T14:01:41,2111.14,INR,success,False
TXN000028,CUST00004,MERCH0043,DEV00758,IP00261,PI00005,,2025-01-14T23:20:52,5499.95,INR,success,False
TXN000029,CUST00004,MERCH0024,DEV00883,IP00400,PI00005,,2025-06-18T07:42:04,11807.46,INR,success,False
TXN000030,CUST00004,MERCH0023,DEV00173,IP00285,PI00005,,2025-11-01T07:29:49,11349.23,INR,success,False
TXN000031,CUST00004,MERCH0041,DEV00188,IP00181,PI00005,,2026-02-19T05:07:39,2603.24,INR,success,False
TXN000032,CUST00004,MERCH0049,DEV00458,IP00089,PI00005,,2025-08-21T22:05:19,13224.1,INR,success,False
TXN000033,CUST00004,MERCH0011,DEV00014,IP00047,PI00005,,2026-05-17T20:31:57,13838.67,INR,success,False
TXN000034,CUST00004,MERCH0001,DEV00295,IP00292,PI00005,,2025-03-09T17:19:49,5976.84,INR,success,False
TXN000035,CUST00005,MERCH0022,DEV00677,IP00382,PI00006,COUP00026,2026-06-23T18:05:22,14446.81,INR,success,True
TXN000036,CUST00005,MERCH0042,DEV00677,IP00382,PI00006,COUP00031,2025-10-08T15:14:29,379.57,INR,success,True
TXN000037,CUST00005,MERCH0015,DEV00042,IP00382,PI00006,,2025-06-29T21:19:27,5623.96,INR,success,True
TXN000038,CUST00005,MERCH0038,DEV00001,IP00382,PI00006,COUP00030,2025-06-05T23:02:16,5796.59,INR,success,True
TXN000039,CUST00005,MERCH0010,DEV00042,IP00165,PI00007,,2025-01-05T11:54:54,7339.22,INR,failed,True
TXN000040,CUST00005,MERCH0048,DEV00054,IP00165,PI00007,COUP00008,2025-01-29T22:47:52,12481.21,INR,failed,True
TXN000041,CUST00005,MERCH0014,DEV00677,IP00165,PI00007,,2025-02-12T15:16:40,253.82,INR,success,True
TXN000042,CUST00005,MERCH0028,DEV00054,IP00382,PI00006,,2026-03-21T15:06:33,6725.92,INR,success,True
TXN000043,CUST00005,MERCH0013,DEV00001,IP00382,PI00007,,2025-11-27T13:57:31,1808.53,INR,success,True
TXN000044,CUST00005,MERCH0020,DEV00054,IP00165,PI00006,,2026-05-15T08:47:16,14086.5,INR,pending,True
TXN000045,CUST00005,MERCH0048,DEV00677,IP00165,PI00006,COUP00019,2025-03-19T00:08:12,6950.52,INR,success,True
TXN000046,CUST00005,MERCH0031,DEV00677,IP00109,PI00007,,2025-12-27T08:07:59,13425.0,INR,success,True
TXN000047,CUST00005,MERCH0012,DEV00677,IP00109,PI00006,COUP00017,2025-01-25T13:55:32,12299.96,INR,success,True
TXN000048,CUST00005,MERCH0036,DEV00042,IP00165,PI00007,COUP00022,2025-11-29T21:03:56,394.62,INR,success,True
TXN000049,CUST00005,MERCH0020,DEV00677,IP00109,PI00006,,2025-03-09T05:16:19,713.53,INR,success,True
TXN000050,CUST00005,MERCH0018,DEV00054,IP00109,PI00006,COUP00020,2025-05-12T00:47:51,11551.88,INR,success,True
TXN000051,CUST00005,MERCH0033,DEV00001,IP00165,PI00007,COUP00022,2025-05-11T15:48:56,8631.73,INR,success,True
TXN000052,CUST00005,MERCH0024,DEV00042,IP00382,PI00006,COUP00019,2025-12-15T11:10:02,5739.65,INR,success,True
TXN000053,CUST00005,MERCH0030,DEV00677,IP00109,PI00006,,2025-04-17T06:25:31,3048.11,INR,success,True
TXN000054,CUST00005,MERCH0001,DEV00054,IP00382,PI00007,,2025-12-03T23:59:13,3484.33,INR,pending,True
TXN000055,CUST00005,MERCH0006,DEV00054,IP00165,PI00007,,2025-09-19T22:09:53,10919.08,INR,success,True
TXN000056,CUST00005,MERCH0003,DEV00054,IP00109,PI00006,,2025-07-02T02:34:24,7206.64,INR,success,True
TXN000057,CUST00005,MERCH0042,DEV00054,IP00109,PI00007,,2025-03-02T07:32:56,11081.88,INR,success,True
TXN000058,CUST00005,MERCH0017,DEV00001,IP00165,PI00007,,2025-08-17T01:06:03,3262.95,INR,failed,True
TXN000059,CUST00005,MERCH0042,DEV00677,IP00109,PI00007,COUP00035,2025-02-09T18:59:02,13189.21,INR,success,True
TXN000060,CUST00006,MERCH0049,DEV00870,IP00240,PI00008,,2025-11-18T15:16:07,6121.57,INR,failed,False
TXN000061,CUST00006,MERCH0034,DEV00377,IP00338,PI00008,,2025-02-22T03:38:48,12265.5,INR,success,False
TXN000062,CUST00006,MERCH0031,DEV00585,IP00018,PI00008,,2026-04-18T23:15:17,8695.28,INR,success,False
TXN000063,CUST00006,MERCH0045,DEV00012,IP00398,PI00008,,2025-03-27T10:29:03,9782.2,INR,success,False
TXN000064,CUST00006,MERCH0027,DEV00395,IP00011,PI00008,,2026-03-13T14:17:34,595.67,INR,success,False
TXN000065,CUST00006,MERCH0028,DEV00234,IP00362,PI00008,,2025-01-29T08:30:07,3247.98,INR,success,False
TXN000066,CUST00006,MERCH0026,DEV00495,IP00331,PI00008,,2025-11-04T20:38:58,10542.56,INR,success,False
TXN000067,CUST00006,MERCH0027,DEV00562,IP00478,PI00008,,2025-04-04T09:29:15,13329.0,INR,success,False
TXN000068,CUST00006,MERCH0002,DEV00589,IP00329,PI00008,,2026-01-05T05:37:48,7670.47,INR,success,False
TXN000069,CUST00007,MERCH0039,DEV00337,IP00112,PI00009,,2025-12-01T16:42:20,5869.44,INR,success,False
TXN000070,CUST00007,MERCH0011,DEV00587,IP00213,PI00010,,2025-06-09T10:03:59,14812.43,INR,success,False
TXN000071,CUST00007,MERCH0021,DEV00760,IP00433,PI00009,,2025-01-19T16:42:16,12673.25,INR,pending,False
TXN000072,CUST00007,MERCH0045,DEV00310,IP00293,PI00010,,2026-05-10T14:49:26,974.37,INR,success,False
TXN000073,CUST00007,MERCH0005,DEV00878,IP00288,PI00010,,2026-05-19T05:56:57,10273.63,INR,success,False
TXN000074,CUST00007,MERCH0004,DEV00031,IP00209,PI00009,,2025-12-10T22:03:11,6093.07,INR,success,False
TXN000075,CUST00007,MERCH0001,DEV00592,IP00477,PI00010,,2025-05-07T11:55:02,2955.7,INR,failed,False
TXN000076,CUST00007,MERCH0040,DEV00596,IP00091,PI00009,,2026-03-27T16:01:16,10126.27,INR,success,False
TXN000077,CUST00007,MERCH0036,DEV00836,IP00275,PI00009,,2026-03-17T03:07:41,6338.33,INR,success,False
TXN000078,CUST00007,MERCH0006,DEV00788,IP00105,PI00010,,2025-09-08T18:30:44,11089.31,INR,success,False
TXN000079,CUST00007,MERCH0017,DEV00547,IP00217,PI00009,,2025-01-05T17:15:40,6137.85,INR,success,False
TXN000080,CUST00007,MERCH0035,DEV00162,IP00016,PI00009,,2025-08-15T18:05:42,14589.89,INR,success,False
TXN000081,CUST00007,MERCH0044,DEV00691,IP00395,PI00009,,2025-03-09T15:37:30,1783.03,INR,success,False
TXN000082,CUST00008,MERCH0039,DEV00626,IP00215,PI00011,,2026-03-16T07:11:24,1046.29,INR,pending,False
TXN000083,CUST00008,MERCH0017,DEV00840,IP00276,PI00011,,2025-09-22T01:39:36,14382.99,INR,success,False
TXN000084,CUST00008,MERCH0018,DEV00238,IP00288,PI00011,,2025-07-30T22:08:25,12194.67,INR,success,False
TXN000085,CUST00008,MERCH0048,DEV00151,IP00401,PI00011,,2026-06-26T16:00:26,7042.04,INR,success,False
TXN000086,CUST00008,MERCH0001,DEV00115,IP00213,PI00012,,2026-02-23T11:32:05,9546.86,INR,failed,False
TXN000087,CUST00008,MERCH0042,DEV00278,IP00340,PI00011,,2026-05-13T19:06:48,1634.05,INR,success,False
TXN000088,CUST00008,MERCH0047,DEV00872,IP00130,PI00011,,2026-05-21T06:02:17,13528.66,INR,success,False
TXN000089,CUST00008,MERCH0029,DEV00524,IP00048,PI00011,,2026-05-24T00:21:21,1805.12,INR,success,False
TXN000090,CUST00008,MERCH0029,DEV00614,IP00080,PI00011,,2025-02-12T06:04:29,3133.45,INR,success,False
TXN000091,CUST00008,MERCH0026,DEV00645,IP00277,PI00011,COUP00005,2026-02-03T14:19:17,7977.51,INR,success,False
TXN000092,CUST00009,MERCH0034,DEV00677,IP00109,PI00013,COUP00019,2026-04-12T12:42:32,11308.76,INR,success,True
TXN000093,CUST00009,MERCH0022,DEV00042,IP00165,PI00013,COUP00033,2025-01-24T10:47:44,9659.63,INR,success,True
TXN000094,CUST00009,MERCH0038,DEV00054,IP00382,PI00013,COUP00035,2025-12-29T16:08:38,10816.56,INR,success,True
TXN000095,CUST00009,MERCH0009,DEV00042,IP00382,PI00013,,2025-10-26T22:39:15,8406.29,INR,success,True
TXN000096,CUST00009,MERCH0041,DEV00001,IP00382,PI00013,COUP00008,2026-02-16T23:04:12,14914.55,INR,success,True
TXN000097,CUST00009,MERCH0018,DEV00001,IP00109,PI00013,,2025-11-24T05:12:50,4958.35,INR,success,True
TXN000098,CUST00009,MERCH0022,DEV00677,IP00109,PI00013,,2026-04-08T01:02:00,13509.85,INR,success,True
TXN000099,CUST00009,MERCH0043,DEV00001,IP00382,PI00013,,2025-03-05T02:06:22,4544.02,INR,success,True
TXN000100,CUST00009,MERCH0006,DEV00054,IP00382,PI00013,,2026-05-26T19:06:04,14356.68,INR,success,True
TXN000101,CUST00009,MERCH0037,DEV00054,IP00382,PI00013,COUP00036,2025-12-23T03:36:23,6135.53,INR,failed,True
TXN000102,CUST00009,MERCH0049,DEV00001,IP00109,PI00013,COUP00029,2025-02-15T16:05:18,3710.02,INR,success,True
TXN000103,CUST00009,MERCH0045,DEV00001,IP00109,PI00013,COUP00023,2025-09-05T04:31:05,3912.05,INR,success,True
TXN000104,CUST00009,MERCH0002,DEV00677,IP00165,PI00013,,2025-03-03T11:38:03,13118.19,INR,success,True
TXN000105,CUST00009,MERCH0032,DEV00001,IP00382,PI00013,COUP00037,2025-07-31T06:01:25,7814.78,INR,success,True
TXN000106,CUST00009,MERCH0015,DEV00677,IP00165,PI00013,COUP00013,2025-08-03T17:18:45,672.76,INR,pending,True
TXN000107,CUST00009,MERCH0027,DEV00677,IP00109,PI00013,,2025-11-10T04:47:31,8821.08,INR,pending,True
TXN000108,CUST00009,MERCH0043,DEV00054,IP00109,PI00013,COUP00032,2025-04-11T11:13:01,2109.84,INR,pending,True
TXN000109,CUST00009,MERCH0011,DEV00054,IP00382,PI00013,,2025-02-09T05:20:44,8498.77,INR,success,True
TXN000110,CUST00009,MERCH0030,DEV00042,IP00165,PI00013,,2025-04-11T01:12:31,2736.12,INR,success,True
TXN000111,CUST00009,MERCH0039,DEV00677,IP00109,PI00013,,2025-09-25T18:39:17,8861.02,INR,failed,True
TXN000112,CUST00009,MERCH0026,DEV00001,IP00382,PI00013,COUP00036,2026-04-14T12:30:32,10680.72,INR,success,True
TXN000113,CUST00009,MERCH0020,DEV00001,IP00165,PI00013,,2025-12-17T06:07:38,3781.18,INR,success,True
TXN000114,CUST00009,MERCH0017,DEV00001,IP00382,PI00013,,2026-02-12T22:17:09,1525.12,INR,failed,True
TXN000115,CUST00009,MERCH0002,DEV00001,IP00109,PI00013,COUP00009,2025-06-05T10:55:06,13462.39,INR,success,True
TXN000116,CUST00009,MERCH0030,DEV00054,IP00382,PI00013,,2025-08-13T22:24:08,2287.23,INR,success,True
TXN000117,CUST00010,MERCH0003,DEV00812,IP00157,PI00014,,2025-02-22T07:17:08,10993.23,INR,success,False
TXN000118,CUST00010,MERCH0034,DEV00073,IP00112,PI00014,,2026-03-15T02:09:02,4888.82,INR,success,False
TXN000119,CUST00010,MERCH0040,DEV00864,IP00279,PI00014,,2026-05-09T15:50:31,9701.97,INR,success,False
TXN000120,CUST00010,MERCH0045,DEV00393,IP00153,PI00014,,2026-06-06T11:05:29,4523.09,INR,success,False
TXN000121,CUST00010,MERCH0004,DEV00338,IP00318,PI00014,,2025-01-09T19:42:03,3579.63,INR,success,False
TXN000122,CUST00010,MERCH0028,DEV00032,IP00292,PI00014,,2025-06-30T07:10:13,9373.54,INR,pending,False
TXN000123,CUST00010,MERCH0037,DEV00573,IP00464,PI00014,,2025-07-22T17:44:33,9770.62,INR,success,False
TXN000124,CUST00010,MERCH0031,DEV00412,IP00274,PI00014,,2025-10-15T09:42:07,3765.47,INR,success,False
TXN000125,CUST00010,MERCH0034,DEV00460,IP00316,PI00014,,2025-01-03T03:47:18,8620.88,INR,success,False
TXN000126,CUST00010,MERCH0042,DEV00157,IP00388,PI00014,,2026-01-09T01:17:23,12758.65,INR,failed,False
TXN000127,CUST00010,MERCH0017,DEV00318,IP00127,PI00014,,2025-01-06T05:24:39,10691.24,INR,success,False
TXN000128,CUST00010,MERCH0040,DEV00231,IP00494,PI00014,COUP00013,2025-09-04T23:43:11,12771.26,INR,success,False
TXN000129,CUST00010,MERCH0042,DEV00014,IP00027,PI00014,,2025-03-17T06:57:52,1191.79,INR,success,False
TXN000130,CUST00010,MERCH0049,DEV00064,IP00116,PI00014,,2025-09-29T13:14:14,14493.37,INR,success,False
TXN000131,CUST00011,MERCH0039,DEV00342,IP00427,PI00015,,2026-06-24T19:55:17,8902.72,INR,success,False
TXN000132,CUST00011,MERCH0020,DEV00496,IP00100,PI00015,,2026-02-05T12:09:33,12174.44,INR,success,False
TXN000133,CUST00011,MERCH0001,DEV00282,IP00434,PI00015,,2025-08-30T04:18:19,7451.4,INR,success,False
TXN000134,CUST00011,MERCH0009,DEV00455,IP00384,PI00015,,2025-01-20T22:34:25,4796.68,INR,success,False
TXN000135,CUST00011,MERCH0005,DEV00006,IP00355,PI00015,,2025-02-21T00:31:48,11817.77,INR,success,False
TXN000136,CUST00011,MERCH0023,DEV00035,IP00471,PI00015,,2026-05-05T05:43:11,7301.49,INR,failed,False
TXN000137,CUST00011,MERCH0006,DEV00674,IP00086,PI00015,,2025-07-05T13:16:29,5339.96,INR,success,False
TXN000138,CUST00012,MERCH0023,DEV00038,IP00310,PI00016,,2025-07-18T16:19:52,5230.27,INR,success,False
TXN000139,CUST00012,MERCH0021,DEV00760,IP00041,PI00016,,2026-02-28T00:14:53,3982.52,INR,success,False
TXN000140,CUST00012,MERCH0008,DEV00402,IP00343,PI00016,,2026-04-26T21:52:38,798.68,INR,success,False
TXN000141,CUST00012,MERCH0016,DEV00841,IP00243,PI00016,COUP00019,2026-01-18T01:37:24,10780.68,INR,success,False
TXN000142,CUST00012,MERCH0049,DEV00320,IP00061,PI00016,,2025-09-05T17:20:45,9102.68,INR,pending,False
TXN000143,CUST00012,MERCH0014,DEV00154,IP00092,PI00016,COUP00035,2026-03-01T00:54:16,5965.48,INR,success,False
TXN000144,CUST00012,MERCH0033,DEV00786,IP00482,PI00016,,2025-05-05T12:33:21,13738.54,INR,success,False
TXN000145,CUST00012,MERCH0045,DEV00568,IP00205,PI00016,,2026-02-27T12:40:27,9935.06,INR,success,False
TXN000146,CUST00013,MERCH0045,DEV00013,IP00078,PI00017,,2026-02-24T19:22:07,1449.09,INR,success,False
TXN000147,CUST00013,MERCH0014,DEV00290,IP00355,PI00017,,2025-10-24T19:32:28,5203.93,INR,success,False
TXN000148,CUST00013,MERCH0030,DEV00136,IP00103,PI00017,COUP00013,2025-11-21T07:12:19,4028.34,INR,success,False
TXN000149,CUST00013,MERCH0050,DEV00516,IP00465,PI00017,,2025-01-17T01:13:26,7361.99,INR,success,False
TXN000150,CUST00013,MERCH0003,DEV00738,IP00495,PI00017,,2026-01-28T16:51:51,711.29,INR,success,False
TXN000151,CUST00013,MERCH0035,DEV00733,IP00061,PI00017,,2026-06-12T18:46:37,12998.23,INR,success,False
TXN000152,CUST00013,MERCH0025,DEV00095,IP00103,PI00017,,2025-03-03T06:04:16,1593.87,INR,failed,False
TXN000153,CUST00013,MERCH0022,DEV00551,IP00142,PI00017,,2025-09-18T10:10:46,12025.1,INR,success,False
TXN000154,CUST00013,MERCH0026,DEV00191,IP00337,PI00017,,2025-07-07T03:59:04,4499.5,INR,success,False
TXN000155,CUST00013,MERCH0002,DEV00818,IP00351,PI00017,,2025-12-20T06:29:36,3465.77,INR,success,False
TXN000156,CUST00013,MERCH0024,DEV00695,IP00004,PI00017,,2026-01-01T08:35:18,4514.36,INR,pending,False
TXN000157,CUST00013,MERCH0044,DEV00809,IP00030,PI00017,,2026-06-27T07:50:13,13786.15,INR,success,False
TXN000158,CUST00013,MERCH0048,DEV00082,IP00228,PI00017,,2025-06-02T18:29:55,12360.83,INR,success,False
TXN000159,CUST00014,MERCH0032,DEV00747,IP00125,PI00019,,2025-09-21T06:38:38,14967.25,INR,success,False
TXN000160,CUST00014,MERCH0049,DEV00894,IP00209,PI00019,,2025-04-13T17:42:04,13850.45,INR,success,False
TXN000161,CUST00014,MERCH0035,DEV00238,IP00500,PI00019,COUP00025,2025-10-10T04:26:30,345.01,INR,success,False
TXN000162,CUST00014,MERCH0014,DEV00498,IP00417,PI00019,,2025-10-18T11:18:41,7802.36,INR,success,False
TXN000163,CUST00014,MERCH0003,DEV00339,IP00476,PI00019,,2025-02-07T14:35:23,5997.57,INR,success,False
TXN000164,CUST00014,MERCH0034,DEV00850,IP00005,PI00018,,2025-12-04T01:50:15,9739.99,INR,success,False
TXN000165,CUST00014,MERCH0001,DEV00273,IP00429,PI00018,COUP00035,2025-11-30T03:55:27,8840.96,INR,success,False
TXN000166,CUST00014,MERCH0010,DEV00122,IP00085,PI00019,COUP00016,2026-04-06T02:29:15,2115.31,INR,success,False
TXN000167,CUST00014,MERCH0030,DEV00269,IP00174,PI00019,,2026-04-18T11:43:16,8569.51,INR,success,False
TXN000168,CUST00014,MERCH0042,DEV00612,IP00188,PI00018,,2026-06-25T16:30:06,14540.72,INR,success,False
TXN000169,CUST00014,MERCH0009,DEV00051,IP00320,PI00019,,2025-02-02T08:35:57,5297.37,INR,success,False
TXN000170,CUST00014,MERCH0041,DEV00303,IP00339,PI00018,,2026-01-18T22:07:27,753.29,INR,success,False
TXN000171,CUST00014,MERCH0019,DEV00766,IP00286,PI00019,,2025-08-11T00:15:25,3454.42,INR,success,False
TXN000172,CUST00014,MERCH0036,DEV00128,IP00286,PI00019,COUP00036,2025-03-12T08:12:56,5283.13,INR,success,False
TXN000173,CUST00015,MERCH0049,DEV00370,IP00381,PI00020,,2025-09-30T03:45:40,6032.24,INR,success,True
TXN000174,CUST00015,MERCH0010,DEV00370,IP00186,PI00020,,2025-11-12T11:04:51,7450.52,INR,success,True
TXN000175,CUST00015,MERCH0016,DEV00340,IP00381,PI00020,,2026-01-20T12:14:37,1627.98,INR,success,True
TXN000176,CUST00015,MERCH0001,DEV00370,IP00381,PI00020,,2025-11-23T05:21:00,6788.76,INR,success,True
TXN000177,CUST00015,MERCH0009,DEV00370,IP00381,PI00020,,2026-05-13T08:55:58,5364.46,INR,success,True
TXN000178,CUST00015,MERCH0013,DEV00760,IP00399,PI00020,COUP00005,2025-02-18T20:18:50,1110.99,INR,success,True
TXN000179,CUST00015,MERCH0028,DEV00340,IP00381,PI00020,,2025-06-28T22:57:26,5268.23,INR,success,True
TXN000180,CUST00015,MERCH0014,DEV00340,IP00381,PI00020,COUP00017,2025-12-08T18:53:50,8901.89,INR,success,True
TXN000181,CUST00015,MERCH0047,DEV00830,IP00399,PI00020,COUP00025,2025-08-27T21:54:25,3285.53,INR,pending,True
TXN000182,CUST00015,MERCH0038,DEV00760,IP00399,PI00020,,2026-06-13T04:17:38,4857.84,INR,failed,True
TXN000183,CUST00015,MERCH0042,DEV00340,IP00399,PI00020,,2025-12-24T11:24:08,6577.44,INR,success,True
TXN000184,CUST00015,MERCH0008,DEV00830,IP00399,PI00020,COUP00022,2025-08-22T06:49:20,3002.64,INR,success,True
TXN000185,CUST00015,MERCH0026,DEV00830,IP00381,PI00020,,2025-09-08T07:31:55,5676.4,INR,success,True
TXN000186,CUST00015,MERCH0045,DEV00340,IP00186,PI00020,,2025-12-31T01:20:22,12728.72,INR,pending,True
TXN000187,CUST00015,MERCH0007,DEV00760,IP00186,PI00020,,2025-03-10T21:31:42,2542.74,INR,success,True
TXN000188,CUST00015,MERCH0010,DEV00760,IP00381,PI00020,,2026-04-14T17:29:45,3269.25,INR,success,True
TXN000189,CUST00015,MERCH0019,DEV00370,IP00186,PI00020,,2026-06-15T04:48:59,694.78,INR,failed,True
TXN000190,CUST00015,MERCH0030,DEV00370,IP00381,PI00020,COUP00011,2026-03-12T11:39:54,9297.94,INR,success,True
TXN000191,CUST00015,MERCH0040,DEV00370,IP00381,PI00020,COUP00031,2026-04-07T04:06:11,3435.13,INR,failed,True
TXN000192,CUST00015,MERCH0012,DEV00760,IP00399,PI00020,COUP00009,2026-02-20T11:35:04,8670.95,INR,success,True
TXN000193,CUST00015,MERCH0049,DEV00340,IP00186,PI00020,,2025-07-15T05:43:50,7792.36,INR,success,True
TXN000194,CUST00015,MERCH0005,DEV00370,IP00186,PI00020,,2025-08-16T20:09:44,13352.92,INR,success,True
TXN000195,CUST00015,MERCH0022,DEV00830,IP00381,PI00020,,2025-01-08T01:30:06,10381.65,INR,failed,True
TXN000196,CUST00015,MERCH0028,DEV00830,IP00186,PI00020,,2025-04-09T12:25:35,3105.92,INR,success,True
TXN000197,CUST00015,MERCH0016,DEV00340,IP00186,PI00020,COUP00026,2025-06-21T18:17:48,10134.18,INR,success,True
TXN000198,CUST00016,MERCH0032,DEV00641,IP00372,PI00022,,2025-12-02T22:18:32,7064.85,INR,failed,False
TXN000199,CUST00016,MERCH0003,DEV00209,IP00481,PI00022,COUP00033,2025-06-19T14:13:33,6086.96,INR,success,False
TXN000200,CUST00016,MERCH0036,DEV00748,IP00245,PI00022,COUP00029,2025-08-21T00:52:31,880.16,INR,success,False
TXN000201,CUST00016,MERCH0040,DEV00817,IP00018,PI00022,,2025-10-21T22:51:33,2115.55,INR,success,False
TXN000202,CUST00016,MERCH0046,DEV00087,IP00373,PI00022,,2025-08-12T10:26:40,10946.08,INR,success,False
TXN000203,CUST00016,MERCH0049,DEV00508,IP00139,PI00022,COUP00028,2025-04-13T17:48:40,7644.46,INR,success,False
TXN000204,CUST00016,MERCH0001,DEV00465,IP00216,PI00022,,2025-11-29T11:00:48,12473.06,INR,success,False
TXN000205,CUST00017,MERCH0043,DEV00251,IP00362,PI00023,,2025-02-01T01:50:13,9550.96,INR,success,False
TXN000206,CUST00017,MERCH0019,DEV00815,IP00135,PI00023,,2025-11-10T10:31:50,4082.26,INR,success,False
TXN000207,CUST00017,MERCH0014,DEV00498,IP00331,PI00023,,2026-04-08T03:50:20,11253.57,INR,success,False
TXN000208,CUST00017,MERCH0005,DEV00726,IP00143,PI00023,,2026-02-25T17:42:40,9021.26,INR,success,False
TXN000209,CUST00017,MERCH0021,DEV00438,IP00018,PI00023,,2026-01-29T02:07:43,311.67,INR,success,False
TXN000210,CUST00018,MERCH0028,DEV00014,IP00395,PI00024,,2025-08-08T02:38:38,3325.53,INR,success,True
TXN000211,CUST00018,MERCH0007,DEV00014,IP00067,PI00024,COUP00025,2025-04-13T08:42:27,10807.16,INR,success,True
TXN000212,CUST00018,MERCH0040,DEV00686,IP00067,PI00024,,2026-03-31T22:41:00,8479.53,INR,success,True
TXN000213,CUST00018,MERCH0029,DEV00014,IP00442,PI00024,COUP00005,2025-09-21T15:30:46,11145.56,INR,success,True
TXN000214,CUST00018,MERCH0046,DEV00014,IP00395,PI00024,,2025-05-07T21:02:49,14091.8,INR,pending,True
TXN000215,CUST00018,MERCH0048,DEV00014,IP00067,PI00024,COUP00026,2025-08-22T03:35:49,1056.79,INR,success,True
TXN000216,CUST00018,MERCH0042,DEV00014,IP00395,PI00024,COUP00034,2026-02-03T18:19:01,961.35,INR,success,True
TXN000217,CUST00018,MERCH0005,DEV00700,IP00395,PI00024,COUP00004,2026-05-26T12:17:52,10498.83,INR,success,True
TXN000218,CUST00018,MERCH0018,DEV00700,IP00442,PI00024,COUP00037,2025-07-18T09:20:00,465.07,INR,success,True
TXN000219,CUST00018,MERCH0018,DEV00700,IP00067,PI00024,,2026-06-12T17:49:53,2972.69,INR,success,True
TXN000220,CUST00018,MERCH0029,DEV00014,IP00395,PI00024,,2026-06-11T19:52:59,3099.83,INR,failed,True
TXN000221,CUST00018,MERCH0025,DEV00686,IP00067,PI00024,COUP00010,2025-04-03T16:28:34,2072.89,INR,success,True
TXN000222,CUST00018,MERCH0044,DEV00566,IP00442,PI00024,COUP00021,2025-03-18T20:40:55,14271.14,INR,success,True
