transaction_id,customer_id,ring_id,timestamp,amount,hour_of_day,day_of_week,account_age_days,kyc_verified,customer_txn_number,customer_avg_amount_before,amount_zscore,customer_refund_count_before,customer_chargeback_count_before,coupon_used,coupon_usage_count_before,coupon_max_uses,coupon_over_limit,device_distinct_customers,ip_distinct_customers,num_payment_instruments,instrument_card,instrument_upi,instrument_wallet,merchant_risk_high,merchant_risk_low,merchant_risk_medium,label,split,anomaly_score,ml_risk_score,anomaly_score_clipped,graph_risk_score,combined_risk_score,decision
TXN000052,CUST00005,,2025-01-01 08:37:33,9359.74,8,2,0,1,1,9359.74,0.0,0,0,0,0,-1.0,0,8,4,2,True,False,False,False,False,True,False,train,0.075,4.12363e-05,0.075,1.0,0.315,STEP_UP_VERIFICATION
TXN014094,CUST01321,,2025-01-01 08:41:45,3352.28,8,2,0,1,1,3352.28,0.0,0,0,0,0,-1.0,0,4,1,1,True,False,False,False,True,False,False,train,0.1695,5.961789e-05,0.1695,1.0,0.3339,STEP_UP_VERIFICATION
TXN014281,CUST01339,,2025-01-01 09:38:50,1940.31,9,2,0,1,1,1940.31,0.0,0,0,0,0,-1.0,0,1,5,2,False,False,True,False,True,False,False,train,0.1816,2.9832685e-05,0.1816,1.0,0.3363,STEP_UP_VERIFICATION
TXN014272,CUST01338,,2025-01-01 10:44:43,8596.4,10,2,0,1,1,8596.4,0.0,0,0,0,0,-1.0,0,2,4,2,True,False,False,False,False,True,False,train,0.0487,3.9313294e-05,0.0487,1.0,0.3098,STEP_UP_VERIFICATION
TXN016595,CUST01540,,2025-01-01 13:03:54,887.56,13,2,0,1,1,887.56,0.0,0,0,0,0,-1.0,0,3,4,1,False,False,True,False,True,False,False,train,0.1888,2.547493e-05,0.1888,0.0,0.0378,ALLOW
TXN009291,CUST00870,,2025-01-01 13:35:33,4135.86,13,2,0,1,1,4135.86,0.0,0,0,0,0,-1.0,0,1,5,2,False,True,False,False,True,False,False,train,0.1265,4.38777e-05,0.1265,0.0,0.0253,ALLOW
TXN002419,CUST00227,,2025-01-01 13:40:21,12055.77,13,2,0,1,1,12055.77,0.0,0,0,0,0,-1.0,0,6,6,1,False,True,False,False,False,True,False,train,0.1135,2.8563312e-05,0.1135,0.0,0.0227,ALLOW
TXN017720,CUST01639,,2025-01-01 13:54:16,3396.17,13,2,0,1,1,3396.17,0.0,0,0,0,0,-1.0,0,2,4,1,False,True,False,False,True,False,False,train,0.1246,5.396835e-05,0.1246,1.0,0.3249,STEP_UP_VERIFICATION
TXN006990,CUST00656,,2025-01-01 14:28:17,4858.98,14,2,0,1,1,4858.98,0.0,0,0,1,0,100.0,0,6,4,2,True,False,False,False,True,False,False,train,0.0679,4.6100307e-05,0.0679,1.0,0.3136,STEP_UP_VERIFICATION
TXN012902,CUST01204,RING006,2025-01-01 16:16:42,267.89,16,2,0,0,1,267.89,0.0,0,0,0,0,-1.0,0,15,13,2,False,True,False,True,False,False,True,train,0.4822,0.9993625,0.4822,1.0,0.8961,BLOCK
TXN010759,CUST01003,,2025-01-01 16:43:53,951.85,16,2,0,1,1,951.85,0.0,0,0,0,0,-1.0,0,4,2,2,False,False,True,False,False,True,False,train,0.2197,2.364403e-05,0.2197,0.0,0.044,ALLOW
TXN013432,CUST01256,,2025-01-01 19:07:42,6055.6,19,2,0,1,1,6055.6,0.0,0,0,0,0,-1.0,0,3,3,1,False,False,True,False,False,True,False,train,0.0758,2.9431701e-05,0.0758,1.0,0.3152,STEP_UP_VERIFICATION
TXN009209,CUST00862,RING002,2025-01-01 19:58:20,3563.14,19,2,0,1,1,3563.14,0.0,0,0,1,0,200.0,0,16,16,1,False,True,False,False,False,True,True,train,0.3891,0.99998,0.3891,1.0,0.8778,BLOCK
TXN021015,CUST01946,,2025-01-01 20:00:13,8500.51,20,2,0,1,1,8500.51,0.0,0,0,0,0,-1.0,0,3,5,2,False,False,True,False,True,False,False,train,0.0616,3.516824e-05,0.0616,1.0,0.3123,STEP_UP_VERIFICATION
TXN011789,CUST01101,,2025-01-01 20:16:20,109.37,20,2,0,1,1,109.37,0.0,0,0,0,0,-1.0,0,3,5,1,False,False,True,False,True,False,False,train,0.2686,2.3189557e-05,0.2686,1.0,0.3537,STEP_UP_VERIFICATION
TXN018403,CUST01711,,2025-01-01 20:19:36,2672.29,20,2,0,1,1,2672.29,0.0,0,0,0,0,-1.0,0,2,3,1,True,False,False,False,True,False,False,train,0.1724,2.9850955e-05,0.1724,0.0,0.0345,ALLOW
TXN013704,CUST01283,,2025-01-01 21:17:31,1218.94,21,2,0,1,1,1218.94,0.0,0,0,0,0,-1.0,0,5,4,1,True,False,False,False,True,False,False,train,0.2136,2.3189557e-05,0.2136,0.0,0.0427,ALLOW
TXN009054,CUST00847,RING005,2025-01-01 21:22:23,128.91,21,2,0,1,1,128.91,0.0,0,0,0,0,-1.0,0,22,22,2,False,False,True,False,True,False,True,train,0.6716,0.9990528,0.6716,1.0,0.9338,BLOCK
TXN001574,CUST00146,,2025-01-01 21:33:23,13579.62,21,2,0,0,1,13579.62,0.0,0,0,0,0,-1.0,0,3,7,1,False,False,True,False,True,False,False,train,0.2338,2.6765938e-05,0.2338,1.0,0.3468,STEP_UP_VERIFICATION
TXN004111,CUST00394,,2025-01-01 22:29:03,4321.59,22,2,0,1,1,4321.59,0.0,0,0,0,0,-1.0,0,3,4,1,False,False,True,False,True,False,False,train,0.1399,3.444499e-05,0.1399,0.0,0.028,ALLOW
TXN001210,CUST00113,RING003,2025-01-01 22:53:45,11747.0,22,2,0,1,1,11747.0,0.0,0,0,1,0,50.0,0,23,16,1,True,False,False,False,True,False,True,train,0.5127,0.99992216,0.5127,1.0,0.9025,BLOCK
TXN016548,CUST01536,,2025-01-01 22:56:22,14124.75,22,2,0,1,1,14124.75,0.0,0,0,0,0,-1.0,0,4,4,1,False,True,False,False,True,False,False,train,0.2411,2.6765938e-05,0.2411,0.0,0.0482,ALLOW
TXN012004,CUST01118,,2025-01-01 23:13:42,1379.64,23,2,0,1,1,1379.64,0.0,0,0,0,0,-1.0,0,4,4,2,False,True,False,False,True,False,False,train,0.24,2.364403e-05,0.24,0.0,0.048,ALLOW
TXN014493,CUST01358,,2025-01-01 23:29:50,4429.56,23,2,0,1,1,4429.56,0.0,0,0,1,0,200.0,0,4,4,2,True,False,False,False,True,False,False,train,0.1553,4.6005356e-05,0.1553,1.0,0.3311,STEP_UP_VERIFICATION
TXN019171,CUST01783,,2025-01-01 23:54:15,14395.68,23,2,0,1,1,14395.68,0.0,0,0,1,0,50.0,0,7,2,1,True,False,False,True,False,False,False,train,0.3272,3.2497766e-05,0.3272,1.0,0.3655,STEP_UP_VERIFICATION
TXN005933,CUST00562,,2025-01-02 00:59:43,5454.13,0,3,0,1,1,5454.13,0.0,0,0,0,0,-1.0,0,4,3,1,False,False,True,False,True,False,False,train,0.0938,0.00010435365,0.0938,1.0,0.3188,STEP_UP_VERIFICATION
TXN016983,CUST01572,,2025-01-02 01:49:38,792.54,1,3,0,1,1,792.54,0.0,0,0,0,0,-1.0,0,4,2,2,False,False,True,False,True,False,False,train,0.2376,9.375636e-05,0.2376,0.0,0.0476,ALLOW
TXN021555,CUST01994,,2025-01-02 02:03:07,5045.84,2,3,0,0,1,5045.84,0.0,0,0,0,0,-1.0,0,5,3,1,False,False,True,False,True,False,False,train,0.0818,0.00010435365,0.0818,0.0,0.0164,ALLOW
TXN000376,CUST00037,,2025-01-02 02:55:20,11074.74,2,3,0,0,1,11074.74,0.0,0,0,0,0,-1.0,0,5,2,1,False,True,False,False,True,False,False,train,0.1124,9.219008e-05,0.1124,1.0,0.3225,STEP_UP_VERIFICATION
TXN008743,CUST00821,,2025-01-02 03:27:20,1421.96,3,3,0,0,1,1421.96,0.0,0,0,0,0,-1.0,0,5,4,1,True,False,False,False,False,True,False,train,0.1803,9.195434e-05,0.1803,1.0,0.3361,STEP_UP_VERIFICATION
TXN018752,CUST01743,,2025-01-02 05:27:51,1868.56,5,3,0,1,1,1868.56,0.0,0,0,0,0,-1.0,0,3,2,2,True,False,False,False,True,False,False,train,0.1818,4.4495217e-05,0.1818,1.0,0.3364,STEP_UP_VERIFICATION
TXN009443,CUST00884,,2025-01-02 05:29:51,8730.81,5,3,0,0,1,8730.81,0.0,0,0,0,0,-1.0,0,4,6,2,True,False,False,False,True,False,False,train,0.039,5.3232216e-05,0.039,1.0,0.3078,STEP_UP_VERIFICATION
TXN008256,CUST00774,,2025-01-02 06:31:51,13331.69,6,3,0,1,1,13331.69,0.0,0,0,0,0,-1.0,0,4,5,2,False,True,False,False,False,True,False,train,0.1397,4.9359434e-05,0.1397,1.0,0.328,STEP_UP_VERIFICATION
TXN000624,CUST00061,,2025-01-02 07:12:56,1794.67,7,3,0,0,1,1794.67,0.0,0,0,1,1,200.0,0,4,3,1,False,False,True,False,False,True,False,train,0.1541,4.7768666e-05,0.1541,0.0,0.0308,ALLOW
TXN006271,CUST00592,,2025-01-02 07:38:29,5839.51,7,3,0,0,1,5839.51,0.0,0,0,0,0,-1.0,0,3,6,2,True,False,False,False,False,True,False,train,0.0475,4.8472502e-05,0.0475,0.0,0.0095,ALLOW
TXN009902,CUST00924,,2025-01-02 07:47:24,4089.68,7,3,0,0,1,4089.68,0.0,0,0,0,0,-1.0,0,3,4,1,False,True,False,False,True,False,False,train,0.0824,5.3614916e-05,0.0824,0.0,0.0165,ALLOW
TXN007020,CUST00659,,2025-01-02 08:29:38,2458.64,8,3,0,1,1,2458.64,0.0,0,0,0,0,-1.0,0,4,4,1,True,False,False,False,True,False,False,train,0.1188,2.304353e-05,0.1188,0.0,0.0238,ALLOW
TXN004289,CUST00410,,2025-01-02 09:06:57,10450.03,9,3,0,1,1,10450.03,0.0,0,0,0,0,-1.0,0,2,4,2,False,True,False,False,True,False,False,train,0.0653,4.6861627e-05,0.0653,0.0,0.0131,ALLOW
TXN010972,CUST01024,,2025-01-02 09:23:30,4368.23,9,3,0,1,1,4368.23,0.0,0,0,0,0,-1.0,0,3,7,1,False,False,True,False,True,False,False,train,0.0893,5.090177e-05,0.0893,0.0,0.0179,ALLOW
TXN006523,CUST00618,,2025-01-02 09:53:40,14961.3,9,3,0,1,1,14961.3,0.0,0,0,0,0,-1.0,0,3,3,1,False,False,True,False,True,False,False,train,0.2345,3.842348e-05,0.2345,0.0,0.0469,ALLOW
TXN006417,CUST00607,,2025-01-02 10:52:31,14374.03,10,3,0,1,1,14374.03,0.0,0,0,0,0,-1.0,0,4,6,1,False,True,False,True,False,False,False,train,0.2026,3.5840785e-05,0.2026,1.0,0.3405,STEP_UP_VERIFICATION
TXN008009,CUST00749,,2025-01-02 12:12:33,13212.05,12,3,0,1,1,13212.05,0.0,0,0,0,0,-1.0,0,2,3,1,False,True,False,False,True,False,False,train,0.1447,3.1220246e-05,0.1447,1.0,0.329,STEP_UP_VERIFICATION
TXN012181,CUST01134,,2025-01-02 12:12:57,10762.97,12,3,0,1,1,10762.97,0.0,0,0,0,0,-1.0,0,4,4,1,False,False,True,False,True,False,False,train,0.0582,3.1220246e-05,0.0582,1.0,0.3117,STEP_UP_VERIFICATION
TXN007073,CUST00664,,2025-01-02 12:50:55,6239.42,12,3,0,1,1,6239.42,0.0,0,0,0,0,-1.0,0,2,5,2,True,False,False,False,True,False,False,train,0.0571,3.867047e-05,0.0571,0.0,0.0114,ALLOW
TXN006222,CUST00587,,2025-01-02 13:07:25,10976.0,13,3,0,1,1,10976.0,0.0,0,0,0,0,-1.0,0,10,2,1,True,False,False,False,True,False,False,train,0.1377,0.001044177,0.1377,1.0,0.3281,STEP_UP_VERIFICATION
TXN007583,CUST00710,RING004,2025-01-02 14:07:39,10381.15,14,3,0,1,1,10381.15,0.0,0,0,0,0,-1.0,0,13,14,1,False,False,True,False,False,True,True,train,0.271,0.99995446,0.271,1.0,0.8542,BLOCK
TXN010604,CUST00987,,2025-01-02 15:24:37,14126.66,15,3,0,1,1,14126.66,0.0,0,0,0,0,-1.0,0,2,3,1,False,False,True,False,True,False,False,train,0.211,3.1220246e-05,0.211,1.0,0.3422,STEP_UP_VERIFICATION
TXN010679,CUST00994,,2025-01-02 17:03:44,9450.06,17,3,0,0,1,9450.06,0.0,0,0,0,0,-1.0,0,4,5,1,False,True,False,False,True,False,False,train,0.0478,2.9255685e-05,0.0478,0.0,0.0096,ALLOW
TXN012019,CUST01120,,2025-01-02 17:17:48,10380.23,17,3,0,1,1,10380.23,0.0,0,0,0,0,-1.0,0,2,4,1,False,True,False,False,True,False,False,train,0.0829,2.9255685e-05,0.0829,1.0,0.3166,STEP_UP_VERIFICATION
TXN014138,CUST01326,,2025-01-02 17:24:02,11373.11,17,3,0,1,1,11373.11,0.0,0,0,0,0,-1.0,0,3,5,2,False,True,False,False,True,False,False,train,0.0986,3.5680572e-05,0.0986,1.0,0.3197,STEP_UP_VERIFICATION
TXN021310,CUST01974,RING003,2025-01-02 17:31:37,4168.83,17,3,0,1,1,4168.83,0.0,0,0,1,0,50.0,0,23,16,1,False,True,False,False,True,False,True,train,0.4656,0.9999856,0.4656,1.0,0.8931,BLOCK
TXN015322,CUST01431,RING006,2025-01-02 17:48:04,3427.32,17,3,0,1,1,3427.32,0.0,0,0,1,0,500.0,0,14,15,2,False,True,False,False,True,False,True,train,0.3471,0.99998164,0.3471,1.0,0.8694,BLOCK
TXN016863,CUST01561,,2025-01-02 18:18:46,6183.05,18,3,0,1,1,6183.05,0.0,0,0,0,0,-1.0,0,4,4,1,True,False,False,False,True,False,False,train,0.05,3.0357161e-05,0.05,1.0,0.31,STEP_UP_VERIFICATION
TXN013316,CUST01244,,2025-01-02 18:23:57,7734.07,18,3,0,1,1,7734.07,0.0,0,0,0,0,-1.0,0,2,6,2,False,True,False,True,False,False,False,train,0.0622,4.024616e-05,0.0622,0.0,0.0125,ALLOW
TXN018809,CUST01748,,2025-01-02 18:49:27,11271.81,18,3,0,1,1,11271.81,0.0,0,0,0,0,-1.0,0,1,8,1,True,False,False,False,True,False,False,train,0.168,2.6695123e-05,0.168,1.0,0.3336,STEP_UP_VERIFICATION
TXN009411,CUST00881,,2025-01-02 19:24:56,9630.56,19,3,0,0,1,9630.56,0.0,0,0,0,0,-1.0,0,3,3,1,True,False,False,False,True,False,False,train,0.071,2.6695123e-05,0.071,0.0,0.0142,ALLOW
TXN009459,CUST00886,,2025-01-02 20:08:55,3159.19,20,3,0,1,1,3159.19,0.0,0,0,0,0,-1.0,0,5,7,1,False,False,True,False,True,False,False,train,0.1508,3.7262995e-05,0.1508,0.0,0.0302,ALLOW
TXN018980,CUST01765,,2025-01-02 21:14:56,238.12,21,3,0,1,1,238.12,0.0,0,0,0,0,-1.0,0,7,3,1,False,False,True,False,True,False,False,train,0.296,2.534664e-05,0.296,0.0,0.0592,ALLOW
TXN009674,CUST00906,,2025-01-02 21:44:14,13010.07,21,3,0,1,1,13010.07,0.0,0,0,0,0,-1.0,0,6,3,2,False,False,True,False,True,False,False,train,0.1714,3.5680572e-05,0.1714,1.0,0.3343,STEP_UP_VERIFICATION
TXN011921,CUST01111,,2025-01-02 22:04:29,5129.63,22,3,0,1,1,5129.63,0.0,0,0,0,0,-1.0,0,7,3,2,True,False,False,True,False,False,False,train,0.1223,3.6336984e-05,0.1223,1.0,0.3245,STEP_UP_VERIFICATION
TXN006471,CUST00612,,2025-01-02 23:24:41,11582.41,23,3,0,1,1,11582.41,0.0,0,0,0,0,-1.0,0,4,7,1,False,True,False,False,True,False,False,train,0.1927,2.9255685e-05,0.1927,0.0,0.0386,ALLOW
TXN001830,CUST00168,,2025-01-03 00:05:18,5119.83,0,4,0,1,1,5119.83,0.0,0,0,0,0,-1.0,0,2,5,1,False,False,True,False,False,True,False,train,0.1202,0.0001113455,0.1202,1.0,0.3241,STEP_UP_VERIFICATION
TXN012397,CUST01155,RING001,2025-01-03 01:08:49,10922.97,1,4,0,1,1,10922.97,0.0,0,0,0,0,-1.0,0,9,9,2,False,True,False,False,True,False,True,train,0.2203,0.98457843,0.2203,1.0,0.8363,BLOCK
TXN007563,CUST00709,,2025-01-03 02:50:24,5623.17,2,4,0,1,1,5623.17,0.0,0,0,0,0,-1.0,0,2,3,1,False,False,True,False,True,False,False,train,0.0989,0.0001113455,0.0989,1.0,0.3198,STEP_UP_VERIFICATION
TXN008869,CUST00833,,2025-01-03 03:26:52,7910.01,3,4,0,1,1,7910.01,0.0,0,0,0,0,-1.0,0,6,3,1,False,True,False,False,True,False,False,train,0.0668,0.00012013052,0.0668,0.0,0.0134,ALLOW
TXN009242,CUST00865,,2025-01-03 04:46:53,9049.67,4,4,0,1,1,9049.67,0.0,0,0,0,0,-1.0,0,3,2,1,False,False,True,False,True,False,False,train,0.0828,4.0861796e-05,0.0828,0.0,0.0166,ALLOW
TXN016667,CUST01546,,2025-01-03 05:24:17,6174.67,5,4,0,1,1,6174.67,0.0,0,0,0,0,-1.0,0,5,2,2,False,False,True,False,False,True,False,train,0.0719,6.430887e-05,0.0719,1.0,0.3144,STEP_UP_VERIFICATION
TXN007464,CUST00698,,2025-01-03 05:26:46,4646.62,5,4,0,1,1,4646.62,0.0,0,0,0,0,-1.0,0,7,3,1,True,False,False,False,True,False,False,train,0.1009,6.192559e-05,0.1009,0.0,0.0202,ALLOW
TXN019416,CUST01803,,2025-01-03 07:11:09,6087.05,7,4,0,1,1,6087.05,0.0,0,0,1,0,50.0,0,4,4,1,False,True,False,False,False,True,False,train,0.0412,7.017319e-05,0.0412,1.0,0.3083,STEP_UP_VERIFICATION
TXN012270,CUST01145,RING003,2025-01-03 07:40:21,11809.47,7,4,0,0,1,11809.47,0.0,0,0,0,0,-1.0,0,23,16,1,False,True,False,False,True,False,True,train,0.4485,0.9999187,0.4485,1.0,0.8897,BLOCK
TXN007598,CUST00712,,2025-01-03 07:54:21,3125.3,7,4,0,0,2,14487.08,-11361.78,0,0,0,0,-1.0,0,7,5,1,False,False,True,False,True,False,False,train,0.3526,4.5148325e-05,0.3526,1.0,0.3705,STEP_UP_VERIFICATION
TXN017745,CUST01642,,2025-01-03 08:13:22,11093.66,8,4,0,1,1,11093.66,0.0,0,0,0,0,-1.0,0,5,1,1,False,True,False,False,True,False,False,train,0.1233,4.321461e-05,0.1233,0.0,0.0247,ALLOW
TXN000806,CUST00075,,2025-01-03 08:18:30,1093.97,8,4,0,1,1,1093.97,0.0,0,0,1,0,100.0,0,3,5,1,False,False,True,False,True,False,False,train,0.1771,4.048119e-05,0.1771,1.0,0.3354,STEP_UP_VERIFICATION
TXN000387,CUST00037,,2025-01-03 08:21:36,3562.97,8,4,0,0,2,11074.74,-7511.77,0,0,0,0,-1.0,0,4,4,1,False,True,False,True,False,False,False,train,0.1843,3.9862283e-05,0.1843,1.0,0.3369,STEP_UP_VERIFICATION
TXN001722,CUST00159,,2025-01-03 09:47:44,895.04,9,4,0,1,1,895.04,0.0,0,0,0,0,-1.0,0,3,7,1,False,False,True,False,True,False,False,train,0.2012,3.1980897e-05,0.2012,1.0,0.3403,STEP_UP_VERIFICATION
TXN015016,CUST01403,,2025-01-03 10:13:51,9111.49,10,4,0,0,1,9111.49,0.0,0,0,0,0,-1.0,0,5,5,2,False,False,True,False,True,False,False,train,0.0315,5.024712e-05,0.0315,1.0,0.3063,STEP_UP_VERIFICATION
TXN011044,CUST01031,RING006,2025-01-03 10:56:46,1719.7,10,4,0,1,1,1719.7,0.0,0,0,1,0,500.0,0,14,15,1,False,True,False,False,True,False,True,train,0.37,0.9995741,0.37,1.0,0.8738,BLOCK
TXN013216,CUST01233,,2025-01-03 11:08:51,9653.46,11,4,0,1,1,9653.46,0.0,0,0,0,0,-1.0,0,3,2,1,False,True,False,False,False,True,False,train,0.0793,3.569558e-05,0.0793,0.0,0.0159,ALLOW
TXN019663,CUST01826,,2025-01-03 12:00:31,11833.46,12,4,0,1,1,11833.46,0.0,0,0,0,0,-1.0,0,5,4,1,False,False,True,False,True,False,False,train,0.0911,3.3312215e-05,0.0911,1.0,0.3182,STEP_UP_VERIFICATION
TXN010032,CUST00934,RING005,2025-01-03 12:34:54,11457.8,12,4,0,1,1,11457.8,0.0,0,0,0,0,-1.0,0,22,21,1,False,False,True,False,False,True,True,train,0.4966,0.99994516,0.4966,1.0,0.8993,BLOCK
TXN015790,CUST01472,,2025-01-03 13:12:48,10369.55,13,4,0,1,1,10369.55,0.0,0,0,0,0,-1.0,0,6,2,2,False,False,True,True,False,False,False,train,0.0792,4.062792e-05,0.0792,0.0,0.0159,ALLOW
TXN015023,CUST01403,,2025-01-03 13:59:51,12069.23,13,4,0,0,2,9111.49,2957.74,0,0,0,0,-1.0,0,5,3,2,False,False,True,False,True,False,False,train,0.0812,3.9072893e-05,0.0812,1.0,0.3163,STEP_UP_VERIFICATION
TXN001548,CUST00143,,2025-01-03 14:28:06,12754.93,14,4,0,1,1,12754.93,0.0,0,0,0,0,-1.0,0,6,4,2,False,False,True,False,True,False,False,train,0.1273,4.062792e-05,0.1273,1.0,0.3255,STEP_UP_VERIFICATION
TXN002520,CUST00236,,2025-01-03 14:33:12,6276.92,14,4,0,1,1,6276.92,0.0,0,0,0,0,-1.0,0,2,5,2,False,False,True,False,True,False,False,train,0.0632,4.521929e-05,0.0632,1.0,0.3127,STEP_UP_VERIFICATION
TXN015238,CUST01423,,2025-01-03 15:49:59,12670.0,15,4,0,1,1,12670.0,0.0,0,0,0,0,-1.0,0,4,4,1,True,False,False,False,True,False,False,train,0.112,3.039662e-05,0.112,0.0,0.0224,ALLOW
TXN021139,CUST01958,,2025-01-03 16:25:34,1981.4,16,4,0,1,1,1981.4,0.0,0,0,0,0,-1.0,0,4,5,1,False,True,False,False,True,False,False,train,0.1504,2.534664e-05,0.1504,1.0,0.3301,STEP_UP_VERIFICATION
TXN002107,CUST00196,,2025-01-03 17:28:20,8556.89,17,4,0,0,1,8556.89,0.0,0,0,0,0,-1.0,0,1,3,2,False,True,False,False,True,False,False,train,0.0926,4.101526e-05,0.0926,1.0,0.3185,STEP_UP_VERIFICATION
TXN014000,CUST01314,,2025-01-03 18:25:21,2067.13,18,4,0,0,1,2067.13,0.0,0,0,0,0,-1.0,0,4,2,1,False,True,False,False,True,False,False,train,0.1662,2.534664e-05,0.1662,1.0,0.3333,STEP_UP_VERIFICATION
TXN002149,CUST00199,,2025-01-03 18:36:07,1413.43,18,4,0,1,1,1413.43,0.0,0,0,0,0,-1.0,0,5,6,1,True,False,False,False,False,True,False,train,0.1805,2.534664e-05,0.1805,1.0,0.3361,STEP_UP_VERIFICATION
TXN006020,CUST00570,,2025-01-03 18:41:42,3275.34,18,4,0,1,1,3275.34,0.0,0,0,1,0,200.0,0,1,4,2,False,True,False,False,True,False,False,train,0.1631,7.489278e-05,0.1631,1.0,0.3327,STEP_UP_VERIFICATION
TXN018282,CUST01699,,2025-01-03 18:55:11,7457.01,18,4,0,0,1,7457.01,0.0,0,0,0,0,-1.0,0,8,3,2,True,False,False,False,True,False,False,train,0.0706,3.756004e-05,0.0706,0.0,0.0141,ALLOW
TXN009168,CUST00858,,2025-01-03 19:01:59,2263.0,19,4,0,1,1,2263.0,0.0,0,0,0,0,-1.0,0,4,6,1,False,False,True,False,False,True,False,train,0.1567,1.8487495e-05,0.1567,1.0,0.3313,STEP_UP_VERIFICATION
TXN011965,CUST01115,,2025-01-03 19:20:57,2495.24,19,4,0,1,1,2495.24,0.0,0,0,0,0,-1.0,0,3,3,1,False,True,False,False,True,False,False,train,0.1554,1.8487495e-05,0.1554,1.0,0.3311,STEP_UP_VERIFICATION
TXN018810,CUST01748,,2025-01-03 19:22:49,6886.07,19,4,0,1,2,11271.81,-4385.74,0,0,0,0,-1.0,0,4,6,1,True,False,False,True,False,False,False,train,0.1455,2.542748e-05,0.1455,1.0,0.3291,STEP_UP_VERIFICATION
